#ClinGen Gene Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh37 (hg19): GCF_000001405.13
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
DMXL2	23312	15q21.2	chr15:51739921-51914967	0	No evidence available							0	No evidence available							2012-04-04		
DNAAF1	123872	16q24.1	chr16:84178865-84211526	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613193	
DNAH11	8701	7p15.3	chr7:21582833-21941186	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	611884	
DNAH5	1767	5p15.2	chr5:13690437-13944589	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	608644	
DNAI1	27019	9p13.3	chr9:34458750-34520987	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	244400	
DNAI2	64446	17q25.1	chr17:72270386-72311023	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	612444	
DNAJB6	10049	7q36.3	chr7:157129710-157210133	0	No evidence available							0	No evidence available							2012-10-29		
DNAJC21	134218	5p13.2	chr5:34929698-34959069	1	Little evidence for dosage pathogenicity	26822949						0	No evidence available							2020-10-14	617052	
DNAJC28	54943	21q22.11	chr21:34860362-34864030	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
DNAJC6	9829	1p31.3	chr1:65730377-65881552	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615528	
DNASE1	1773	16p13.3	chr16:3702940-3708096	0	No evidence available							0	No evidence available							2012-02-22		
DNMT3A	1788	2p23.3	chr2:25455830-25565459	1	Little evidence for dosage pathogenicity	24614070	26866722	27701732				0	No evidence available							2018-04-29	615879	
DOCK7	85440	1p31.3	chr1:62920397-63154039	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615859	
DOCK8	81704	9p24.3	chr9:214865-465259	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	243700	
DOK7	285489	4p16.3	chr4:3465033-3503200	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	254300	
DPAGT1	1798	11q23.3	chr11:118967213-118972785	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
DPM1	8813	20q13.13	chr20:49551392-49575101	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	608799	
DPM3	54344	1q22	chr1:155112367-155112996	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	612937	
DPP6	1804	7q36.2	chr7:153584182-154686000	1	Little evidence for dosage pathogenicity	23832105	18252227	30874922				0	No evidence available							2019-06-26	616311	
DPYD	1806	1p21.3	chr1:97543299-98386615	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-01-23		
DPYS	1807	8q22.3	chr8:105391652-105479277	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	222748	
DRD5	1816	4p16.1	chr4:9783258-9785633	0	No evidence available							0	No evidence available							2012-05-15		
DSC2	1824	18q12.1	chr18:28645940-28682395	2	Some evidence for dosage pathogenicity	17186466	17033975	21062920				0	No evidence available							2016-01-14	610476	
DSC3	1825	18q12.1	chr18:28569331-28622781	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613102	
DSCAM	1826	21q22.2	chr21:41384343-42219039	3	Sufficient evidence for dosage pathogenicity	27824329	25363768	25363760				0	No evidence available							2018-01-24	209850	209850
DSE	29940	6q22.1	chr6:116575315-116759454	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615539	
DSG2	1829	18q12.1	chr18:29077967-29128971	1	Little evidence for dosage pathogenicity	21397041	26296472	16773573				0	No evidence available							2015-11-16		
DSG4	147409	18q12.1	chr18:28956740-28994872	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	607903	
DSP	1832	6p24.3	chr6:7541808-7586950	3	Sufficient evidence for dosage pathogenicity	31514951	27532257	24503780	23810894	20716751	31319917	0	No evidence available							2021-10-12		
DSPP	1834	4q22.1	chr4:88529681-88538025	0	No evidence available							0	No evidence available							2013-03-27		
DYM	54808	18q21.1	chr18:46570172-46987079	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-23		
DYNC2H1	79659	11q22.3	chr11:102980160-103350591	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	613091	
DYNC2I1	55112	7q36.3	chr7:158649269-158738883	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615503	
DYRK1A	1859	21q22.13	chr21:38737875-38887679	3	Sufficient evidence for dosage pathogenicity	22495309	21294719	25944381				0	No evidence available							2020-12-16		
EARS2	124454	16p12.2	chr16:23533334-23568696	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614924	
EBP	10682	Xp11.23	chrX:48380164-48387104	3	Sufficient evidence for dosage pathogenicity	11038443	12509714	10942423				0	No evidence available							2020-01-22	302960	
EDA	1896	Xq13.1	chrX:68835911-69259322	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-07-26	305100	
EDNRB	1910	13q22.3	chr13:78469616-78549858	1	Little evidence for dosage pathogenicity	8852658	10528251	8001158	20009762	14633923	30217742	0	No evidence available							2012-07-06		
EFCAB13	124989	17q21.32	chr17:45401327-45518678	40	Dosage sensitivity unlikely	32487729	26940866	25807282	28406212	32461654		0	No evidence available							2021-02-02		
EFNB1	1947	Xq13.1	chrX:68048840-68062007	3	Sufficient evidence for dosage pathogenicity	15166289	15124102	15959873				1	Little evidence for dosage pathogenicity	21064195						2012-07-26	304110	
EFTUD2	9343	17q21.31	chr17:42927655-42976993	3	Sufficient evidence for dosage pathogenicity	22305528	23188108					0	No evidence available							2013-05-23	610536	
EGR2	1959	10q21.3	chr10:64571756-64578927	0	No evidence available							0	No evidence available							2011-11-28		
EHMT1	79813	9q34.3	chr9:140513444-140730579	3	Sufficient evidence for dosage pathogenicity	16826528	19264732					1	Little evidence for dosage pathogenicity	22083728						2012-07-06	610253	
EIF2AK3	9451	2p11.2	chr2:88856258-88927094	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	226980	
EIF2B1	1967	12q24.31	chr12:124105570-124118323	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	603896	
EIF2B3	8891	1p34.1	chr1:45316194-45452394	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	603896	
EIF4A3	9775	17q25.3	chr17:78109013-78120982	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	268305	
ELAVL2	1993	9p21.3	chr9:23690102-23826063	1	Little evidence for dosage pathogenicity	25055870						0	No evidence available							2018-11-28		
ELK1	2002	Xp11.23	chrX:47494919-47510003	0	No evidence available							0	No evidence available							2012-09-26		
ELN	2006	7q11.23	chr7:73442119-73484237	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-07-10	185500	
ELOA3	162699	18q21.1	chr18:44554573-44556449	0	No evidence available							0	No evidence available							2012-02-22		
EMX2	2018	10q26.11	chr10:119301956-119309057	1	Little evidence for dosage pathogenicity	8528262	9359037	18409201	20157829	17506092	25577462	0	No evidence available							2021-11-09		
EN2	2020	7q36.3	chr7:155250824-155257526	0	No evidence available							0	No evidence available							2012-08-26		
ENG	2022	9q34.11	chr9:130577291-130617052	3	Sufficient evidence for dosage pathogenicity	20412114	20414677	16752392				0	No evidence available							2016-12-07	187300	
ENO3	2027	17p13.2	chr17:4854384-4860426	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	612932	
ENPP1	5167	6q23.2	chr6:132129156-132216295	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613312	
EP300	2033	22q13.2	chr22:41488614-41576081	3	Sufficient evidence for dosage pathogenicity	15706485	19353645					0	No evidence available							2013-03-14	613684	
EPB42	2038	15q15.2	chr15:43489425-43513323	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	612690	
EPCAM	4072	2p21	chr2:47596287-47614167	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-10-08	613217	
EPM2A	7957	6q24.3	chr6:145946440-146056991	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	254780	
EPS8	2059	12p12.3	chr12:15773075-15942510	30	Gene associated with autosomal recessive phenotype	24741995	27344577					0	No evidence available							2018-02-07	615974	
ERCC1	2067	19q13.32	chr19:45910591-45927177	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	610758	
ERCC2	2068	19q13.32	chr19:45854649-45873845	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22		
ERCC3	2071	2q14.3	chr2:128014866-128051752	30	Gene associated with autosomal recessive phenotype	27655433	28202063					0	No evidence available							2020-06-30	610651	
ERCC5	2073	13q33.1	chr13:103498191-103528351	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	278780	
ERCC6L2	375748	9q22.32	chr9:98637900-98780735	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615715	
ERCC8	1161	5q12.1	chr5:60169659-60240905	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
ERF	2077	19q13.2	chr19:42751713-42759316	3	Sufficient evidence for dosage pathogenicity	30758909	23354439	26097063	29215649			0	No evidence available							2021-06-08	600775	
ERMARD	55780	6q27	chr6:170151718-170181680	1	Little evidence for dosage pathogenicity	24056535						0	No evidence available							2013-11-13		
ESCO2	157570	8p21.1	chr8:27632058-27662425	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	268300	
ESPN	83715	1p36.31	chr1:6484848-6521004	30	Gene associated with autosomal recessive phenotype	15286153	18973245					0	No evidence available							2018-02-07	609006	
ETFB	2109	19q13.41	chr19:51848409-51869672	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	231680	
ETFDH	2110	4q32.1	chr4:159593253-159629865	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	231680	
EVC2	132884	4p16.2	chr4:5564146-5711275	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-07-18	225500	
EVX2	344191	2q31.1	chr2:176944835-176948690	0	No evidence available							0	No evidence available							2012-04-04		
EXO5	64789	1p34.2	chr1:40974391-40981722	40	Dosage sensitivity unlikely	32487729	25807282	32461654				0	No evidence available							2021-02-02		
EXOSC3	51010	9p13.2	chr9:37779711-37785089	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614678	
EXPH5	23086	11q22.3	chr11:108376158-108464465	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615028	
EXT1	2131	8q24.11	chr8:118811602-119124058	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-17	133700	
EXT2	2132	11p11.2	chr11:44117099-44266980	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-23	133701	
EYA1	2138	8q13.3	chr8:72109668-72274467	3	Sufficient evidence for dosage pathogenicity	30086703	16813606	29552445				0	No evidence available							2020-08-25	113650	
EYA4	2070	6q23.2	chr6:133562495-133853258	3	Sufficient evidence for dosage pathogenicity	11159937	17567890	15735644				0	No evidence available							2020-01-22	601316	
EYS	346007	6q12	chr6:64429876-66417118	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	602772	
F10	2159	13q34	chr13:113777113-113803843	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	227600	
F13A1	2162	6p25.1	chr6:6144311-6320924	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613225	
F13B	2165	1q31.3	chr1:197008321-197036397	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613235	
F5	2153	1q24.2	chr1:169481192-169555769	30	Gene associated with autosomal recessive phenotype	11435304	19598066					0	No evidence available							2018-01-11	227400	
F7	2155	13q34	chr13:113760102-113774995	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	227500	
F8	2157	Xq28	chrX:154064063-154250998	3	Sufficient evidence for dosage pathogenicity	2987704	23534532	23551875				0	No evidence available							2020-10-13	306700	
F9	2158	Xq27.1	chrX:138612895-138645617	3	Sufficient evidence for dosage pathogenicity	20301668	29296726					0	No evidence available							2021-01-12	306900	
FA2H	79152	16q23.1	chr16:74746853-74808729	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	612319	
FADD	8772	11q13.3	chr11:70049269-70053508	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613759	
FAH	2184	15q25.1	chr15:80445233-80478924	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-09-02	276700	
FAM161A	84140	2p15	chr2:62051983-62081278	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	606068	
FAM20C	56975	7p22.3	chr7:192969-300740	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	259775	
FAN1	22909	15q13.3	chr15:31196055-31235311	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614817	
FANCA	2175	16q24.3	chr16:89803959-89883065	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-23	227650	
FANCB	2187	Xp22.2	chrX:14861529-14891191	3	Sufficient evidence for dosage pathogenicity	15502827	29232005	21910217	16679491			0	No evidence available							2021-06-23	300514	
FANCC	2176	9q22.32	chr9:97861336-98079991	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	227645	
FANCD2	2177	3p25.3	chr3:10068071-10143621	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	227646	
FANCE	2178	6p21.31	chr6:35420138-35434881	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-06-12	600901	
FANCF	2188	11p14.3	chr11:22644079-22647387	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	603467	
FANCG	2189	9p13.3	chr9:35073835-35080013	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-11-15	614082	
FANCI	55215	15q26.1	chr15:89787194-89860362	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	609053	
FARS2	10667	6p25.1	chr6:5261251-5771825	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	256000	
FBN1	2200	15q21.1	chr15:48700503-48937985	3	Sufficient evidence for dosage pathogenicity	17701892	30286810	21063442				0	No evidence available							2019-12-04	154700	
FBP1	2203	9q22.32	chr9:97365415-97402531	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	229700	
FBXO7	25793	22q12.3	chr22:32870707-32894818	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	260300	
FBXW11	23291	5q35.1	chr5:171288556-171433877	0	No evidence available							1	Little evidence for dosage pathogenicity	16865294						2011-12-07		
FBXW4	6468	10q24.32	chr10:103370421-103455052	0	No evidence available							0	No evidence available							2014-10-08		246560
FGD1	2245	Xp11.22	chrX:54471887-54522599	3	Sufficient evidence for dosage pathogenicity	17152066	20082460	16353258	19110080	28103835	33067218	0	No evidence available							2021-05-26	305400	
FGD4	121512	12p11.21	chr12:32638906-32798984	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	609311	
FGF10	2255	5p12	chr5:44305097-44388784	3	Sufficient evidence for dosage pathogenicity	15654336	16630169	19102732				0	No evidence available							2020-02-26	180920	
FGF3	2248	11q13.3	chr11:69624736-69634192	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	610706	
FGFR1	2260	8p11.23	chr8:38268656-38326352	3	Sufficient evidence for dosage pathogenicity	12627230	15605412	19489874				0	No evidence available							2021-04-05	147950	
FGFR3	2261	4p16.3	chr4:1795039-1810599	0	No evidence available							0	No evidence available	21815251	20197130					2011-11-09		
FGFRL1	53834	4p16.3	chr4:1005610-1020686	0	No evidence available							0	No evidence available							2013-08-01		
FH	2271	1q43	chr1:241660857-241683085	3	Sufficient evidence for dosage pathogenicity	21398687						0	No evidence available							2020-07-06	150800	
FHIT	2272	3p14.2	chr3:59733004-61237135	0	No evidence available	17363630	2337565					0	No evidence available	27113213						2018-10-24		
FKBP14	55033	7p14.3	chr7:30050199-30066417	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614557	
FLCN	201163	17p11.2	chr17:17115526-17140502	3	Sufficient evidence for dosage pathogenicity	22146830	20413710	21412933				0	No evidence available							2016-11-10	135150	
FLG	2312	1q21.3	chr1:152274651-152297679	3	Sufficient evidence for dosage pathogenicity	16444271	27793761	27667308				0	No evidence available							2020-02-26	146700	
FLNA	2316	Xq28	chrX:153576900-153603006	3	Sufficient evidence for dosage pathogenicity	16684786	23032111	26471271				0	No evidence available	24098143						2020-12-02	300049	
FLNB	2317	3p14.3	chr3:57994127-58157982	0	No evidence available							0	No evidence available							2013-07-25		
FLNC	2318	7q32.1	chr7:128470483-128499328	3	Sufficient evidence for dosage pathogenicity	28008423	27908349	28436997	30067491			0	No evidence available							2021-07-13		
FLVCR2	55640	14q24.3	chr14:76044940-76114512	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	225790	
FMO2	2327	1q24.3	chr1:171154347-171181822	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
FMR1	2332	Xq27.3	chrX:146993469-147032647	3	Sufficient evidence for dosage pathogenicity	1642231	7670500	8069307				0	No evidence available							2020-12-16	300624	
FOLR1	2348	11q13.4	chr11:71900602-71907367	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-06-25	613068	
FOXC1	2296	6p25.3	chr6:1610681-1614132	3	Sufficient evidence for dosage pathogenicity	11170889	17653043	16936096				0	No evidence available							2020-07-29	602482	601631
FOXC2	2303	16q24.1	chr16:86600857-86602539	3	Sufficient evidence for dosage pathogenicity	11078474	11694548	21918810				0	No evidence available							2013-11-26	153400	
FOXE1	2304	9q22.33	chr9:100615537-100618997	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	241850	
FOXE3	2301	1p33	chr1:47881744-47883724	0	No evidence available							0	No evidence available							2017-12-13		
FOXF1	2294	16q24.1	chr16:86544133-86548070	3	Sufficient evidence for dosage pathogenicity	23505205						0	No evidence available							2013-06-20	265380	
FOXG1	2290	14q12	chr14:29236278-29239483	3	Sufficient evidence for dosage pathogenicity	28661489	24836831	29655203	24139857	19578037	18571142	0	No evidence available							2021-03-09		
FOXL2	668	3q22.3	chr3:138663066-138665982	3	Sufficient evidence for dosage pathogenicity	28924383	15962237	20232352	11468277	29339661	18726931	0	No evidence available							2021-02-09	110100	
FOXP1	27086	3p13	chr3:71003865-71633140	3	Sufficient evidence for dosage pathogenicity	29090079	20848658	20950788				0	No evidence available							2020-01-22	613670	
FOXP2	93986	7q31.1	chr7:113726365-114333827	1	Little evidence for dosage pathogenicity	15877281						0	No evidence available							2012-09-19		
FOXRED1	55572	11q24.2	chr11:126138935-126148027	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
FREM1	158326	9p22.3	chr9:14734664-14910993	0	No evidence available							0	No evidence available							2013-06-06		
FRMD7	90167	Xq26.2	chrX:131211014-131262050	3	Sufficient evidence for dosage pathogenicity	17013395	20450309	28378818				0	No evidence available							2020-04-09	310700	
FSHB	2488	11p14.1	chr11:30252563-30256824	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	229070	
FTCD	10841	21q22.3	chr21:47556176-47575481	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	229100	
FTL	2512	19q13.33	chr19:49468566-49470136	0	No evidence available							0	No evidence available							2013-08-22		
FTSJ1	24140	Xp11.23	chrX:48334409-48344752	3	Sufficient evidence for dosage pathogenicity	15162322	15342698	18081026				0	No evidence available							2012-07-12	309549	
FXN	2395	9q21.11	chr9:71650479-71715094	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	229300	
FYCO1	79443	3p21.31	chr3:45959391-46037316	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-20	610019	
FZD4	8322	11q14.2	chr11:86656717-86666440	3	Sufficient evidence for dosage pathogenicity	12172548	15223780	14507768				0	No evidence available							2012-07-06	133780	
G6PC3	92579	17q21.31	chr17:42148098-42153712	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2020-04-30	612541	
GAA	2548	17q25.3	chr17:78075325-78093681	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	232300	
GAB4	128954	22q11.1	chr22:17442826-17489112	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
GABRA1	2554	5q34	chr5:161274197-161326965	1	Little evidence for dosage pathogenicity	16718694	21714819	27613244	28554332	29655203	16123039	0	No evidence available							2021-11-09		
GABRB3	2562	15q12	chr15:26788693-27018935	0	No evidence available							0	No evidence available							2012-04-25		
GABRG2	2566	5q34	chr5:161494648-161582545	1	Little evidence for dosage pathogenicity	12117362	19261880	24480790				0	No evidence available							2018-09-25		
GALC	2581	14q31.3	chr14:88399358-88460009	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	245200	
GALK1	2584	17q25.1	chr17:73754018-73761280	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	230200	
GALNS	2588	16q24.3	chr16:88880142-88923378	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	253000	
GALNT12	79695	9q22.33	chr9:101569981-101612363	1	Little evidence for dosage pathogenicity	29749045	19617566	22461326				0	No evidence available							2019-09-09	608812	
GALNT3	2591	2q24.3	chr2:166604313-166650803	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	211900	
GALR1	2587	18q23	chr18:74962008-74982098	0	No evidence available							0	No evidence available							2012-07-06		
GALT	2592	9p13.3	chr9:34646586-34650595	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	230400	
GAMT	2593	19p13.3	chr19:1397025-1401569	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	612736	
GAN	8139	16q23.2	chr16:81348571-81413803	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	256850	
GATA1	2623	Xp11.23	chrX:48644982-48652718	0	No evidence available							0	No evidence available							2020-10-14		
GATA2	2624	3q21.3	chr3:128198265-128212030	3	Sufficient evidence for dosage pathogenicity	21892158	21670465	22147895				0	No evidence available							2015-06-04	614038	
GATA3	2625	10p14	chr10:8096667-8117164	3	Sufficient evidence for dosage pathogenicity	10935639	11389161	27387476				0	No evidence available							2020-06-24	146255	
GATA4	2626	8p23.1	chr8:11534428-11617511	3	Sufficient evidence for dosage pathogenicity	12845333	15863664	24000169				0	No evidence available							2017-02-08	607941	
GATA6	2627	18q11.2	chr18:19749398-19782491	3	Sufficient evidence for dosage pathogenicity	22158542	23223019	23635550				0	No evidence available							2013-06-20	600001	
GATAD1	57798	7q21.2	chr7:92076762-92089381	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614672	
GATAD2B	57459	1q21.3	chr1:153777383-153895451	3	Sufficient evidence for dosage pathogenicity	23644463	28077840	27848944				0	No evidence available							2017-12-27	615074	
GBA	2629	1q22	chr1:155204239-155214653	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
GBA2	57704	9p13.3	chr9:35736859-35749233	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614409	
GBE1	2632	3p12.2	chr3:81538850-81810950	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	232500	
GCDH	2639	19p13.13	chr19:13001943-13010813	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	231670	
GCH1	2643	14q22.2	chr14:55308723-55369542	3	Sufficient evidence for dosage pathogenicity	17804835	17111153	21287604				0	No evidence available							2016-05-12		
GCSH	2653	16q23.2	chr16:81115552-81129980	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	605899	
GDF2	2658	10q11.22	chr10:48411774-48416872	0	No evidence available							0	No evidence available							2016-10-13		
GDF5	8200	20q11.22	chr20:34021145-34042568	3	Sufficient evidence for dosage pathogenicity	33333243	9288091	18283415	12567410			0	No evidence available							2021-02-24	113100	
GDI1	2664	Xq28	chrX:153665259-153671814	2	Some evidence for dosage pathogenicity	9620768	22002931					0	No evidence available							2018-09-26	300849	
GEN1	348654	2p24.2	chr2:17935125-17967187	40	Dosage sensitivity unlikely	32487729	22344438	28406212	25807282	32461654		0	No evidence available							2021-02-02		
GFER	2671	16p13.3	chr16:2034150-2037750	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613076	
GFM1	85476	3q25.32	chr3:158362317-158410361	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	609060	
GIGYF2	26058	2q37.1	chr2:233562015-233725287	2	Some evidence for dosage pathogenicity	25170348	25363768	27824329				0	No evidence available							2018-11-28		
GIPC3	126326	19p13.3	chr19:3585569-3593539	30	Gene associated with autosomal recessive phenotype	21326233	21660509					0	No evidence available							2016-08-22	601869	
GJA1	2697	6q22.31	chr6:121756723-121770890	0	No evidence available							0	No evidence available							2013-11-20		
GJA5	2702	1q21.2	chr1:147228332-147245466	1	Little evidence for dosage pathogenicity	20818502						0	No evidence available							2012-02-23		
GJA8	2703	1q21.2	chr1:147374946-147381396	1	Little evidence for dosage pathogenicity	18006672						0	No evidence available							2012-02-23		
GJB2	2706	13q12.11	chr13:20761602-20767114	40	Dosage sensitivity unlikely							0	No evidence available							2012-05-10		
GJB6	10804	13q12.11	chr13:20796101-20806534	0	No evidence available							0	No evidence available							2014-01-30		
GK	2710	Xp21.2	chrX:30671476-30749579	3	Sufficient evidence for dosage pathogenicity	8651297	9719371	10851254				0	No evidence available							2012-09-06		
GLA	2717	Xq22.1	chrX:100652779-100663001	3	Sufficient evidence for dosage pathogenicity	27560961	30988410	11322659				0	No evidence available							2021-03-24	301500	
GLB1	2720	3p22.3	chr3:33038100-33138722	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-03-25		
GLDC	2731	9p24.1	chr9:6532464-6645692	30	Gene associated with autosomal recessive phenotype	22171071						0	No evidence available							2016-06-10	605899	
GLI2	2736	2q14.2	chr2:121554867-121750229	3	Sufficient evidence for dosage pathogenicity	14581620	21204792	24744436				0	No evidence available							2021-01-11	610829	
GLI3	2737	7p14.1	chr7:42000547-42276618	3	Sufficient evidence for dosage pathogenicity	15739154	21326280	29236091				0	No evidence available							2021-01-12	175700	
