Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
F12	gene	F12	Expert Review Green;GRID V2.0;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Angioedema, Hereditary, Type III;hereditary angioedema				16638441;17186468;19178938		False	3	100;0;0	2.465	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000131187	ENSG00000131187	HGNC:3530													
FADD	gene	FADD	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovasuclar malformations, 613759;ALPS-like disease;functional hyposplenism;invasive pneumococcal disease;para-infectious encephalopathy and hepatopathy;cardiovascular malformations;Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction;Diseases of Immune Dysregulation				18070632;17656375;25794656;21109225		False	3	100;0;0	2.465	False		ENSG00000168040	ENSG00000168040	HGNC:3573													
FAS	gene	FAS	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Autoimmune lymphoproliferative syndrome type IA, 601859;Autoimmune lymphoproliferative syndrome, type IA (ALPS-FAS);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12;Diseases of Immune Dysregulation				26258116;10709732;15459302;28668589;8806292;16537120;16394653;7540117;26907631;9927496;9028321;8929361;9821419;25451160;22857792;7511063;22983577		False	3	100;0;0	2.465	False		ENSG00000026103	ENSG00000026103	HGNC:11920													
FASLG	gene	FASLG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Autoimmune lymphoproliferative syndrome, type IB, 601859;Autoimmune lymphoproliferative syndrome, type IB (ALPS-FASG);Autoimmune lymphoproliferative syndrome (ALPS);Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated;Diseases of Immune Dysregulation				8806292;16537120;16394653;8787672;20301287;17605793;26907631;27848183;25451160;22857792;7511063;22983577		False	3	100;0;0	2.465	False		ENSG00000117560	ENSG00000117560	HGNC:11936													
FAT4	gene	FAT4	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hennekam lymphangiectasia-lymphedema syndrome 2, 616006;Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features				29681106;22473091;22469822;25616299;24056717;24913602		False	3	100;0;0	2.465	False		ENSG00000196159	ENSG00000196159	HGNC:23109													
FERMT3	gene	FERMT3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Leukocyte adhesion deficiency, type III, 612840;LAD;LAD type 1 plus bleeding tendency;Congenital defects of phagocyte number or function				17185466;12511588;19234463;20357244;21441448;27749372;26729028		False	3	100;0;0	2.465	False		ENSG00000149781	ENSG00000149781	HGNC:23151													
FOXN1	gene	FOXN1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	T-B+ SCID;T-B+ SCID, congenital alopecia, nail dystrophy, 601705;T-cell immunodeficiency, congenital alopecia, and nail dystrophy;Nude severe combined immunodeficiency;Severe infections,  abnormal thymic epithelium, immunodeficiency, congenital alopecia, nail dystrophy,  neural tube defect;Combined immunodeficiencies with associated or syndromic features				11159512;29593714;21507891;10206641;28636882;15180707;28077132;31447097		False	3	60;20;20	2.465	False		ENSG00000109101	ENSG00000109101	HGNC:12765													
FOXP3	gene	FOXP3	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790;IPEX;FOXP3 deficiency (IPEX);Immune dysregulation polyendocrinopathy enteropathy X-linked syndrome;Autoimmune enteropathy, early onset diabetes, hyroiditis hemolytic anemia, thrombocytopenia, eczema, elevated IgE, IgA;Diseases of Immune Dysregulation				11295725;29241729;30443250;17635943;18951619;11120765;16741580;14671208		False	3	100;0;0	2.465	False		ENSG00000049768	ENSG00000049768	HGNC:6106													
G6PC3	gene	G6PC3	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Neutropenia, severe congenital 4, autosomal recessive, 612541;Dursun syndrome, 612541;Severe Congenital Neutropenia;Neutropenia, severe congenital 4;Congenital neutropenia;Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs;Congenital defects of phagocyte number or function				19118303;20616219		False	3	100;0;0	2.465	False		ENSG00000141349	ENSG00000141349	HGNC:24861													
G6PD	gene	G6PD	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Glucose-6-phosphate dehydrogenase deficiency (G6PD);haemolytic anaemia;chronic granulomatous disease-like susceptibility to infection;Infections;Congenital defects of phagocyte number or function				27458052;27914961;12130518;3681550		False	3	100;0;0	2.465	False		ENSG00000160211	ENSG00000160211	HGNC:4057													
GATA1	gene	GATA1	Congenital neutropaenia v1.22;Expert Review Green;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Anemia, X-linked, with/without neutropenia and/or platelet abnormalities, 300835;thrombocytopenia;dyserythropoietic anaemia;neutropenia				16783379;22706301		False	3	100;0;0	2.465	False		ENSG00000102145	ENSG00000102145	HGNC:4170													
GATA2	gene	GATA2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Immunodeficiency 21,614172;Monocytopenia and mycobacterial infection (MonoMAC);Congenital neutropenia;Combined immunodeficiency with susceptibility to mycobacterial, viral and fungal infections;Monocytopenia with susceptibility to infections;Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema;Congenital defects of phagocyte number or function				21670465;2543925;21765025;29588856;29724903		False	3	100;0;0	2.465	False		ENSG00000179348	ENSG00000179348	HGNC:4171													
GFI1	gene	GFI1	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neutropenia, nonimmune chronic idiopathic, of adults, 607847;Severe congenital 2, autosomal dominant, 613107;Neutropenia, severe congenital 2;Congenital neutropenia;Severe congenital neutropenia;Chronic non-immune neutropenia of adults;B/T lymphopenia;Congenital defects of phagocyte number or function						False	3	100;0;0	2.465	False		ENSG00000162676	ENSG00000162676	HGNC:4237													
GINS1	gene	GINS1	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	GINS1 deficiency;intrauterine growth retardation;chronic neutropenia;NK cell deficiency;Immunodeficiency 55, 617827;Neutropenia, IUGR, NK cells very low;Combined immunodeficiencies with associated or syndromic features				28414293		False	3	100;0;0	2.465	False		ENSG00000101003	ENSG00000101003	HGNC:28980													
HAX1	gene	HAX1	Agranulocytosis v1.3;Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Neutropenia, severe congenital 3, autosomal recessive, 610738;Severe congenital neutropenia;Neutropenia, severe congenital 3;Congenital neutropenia;Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia;Congenital defects of phagocyte number or function						False	3	100;0;0	2.465	False		ENSG00000143575	ENSG00000143575	HGNC:16915													
HELLS	gene	HELLS	Expert Review Green;IUIS Classification February 2018;Literature;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency-centromeric instability-facial anomalies syndrome;ICF;Immunodeficiency-centromeric instability-facial anomalies syndrome 4, 616911;ICF4;Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features				29339483;28128455;27328760;26216346;11711429;14517253;17726103;16395332		False	3	100;0;0	2.465	False		ENSG00000119969	ENSG00000119969	HGNC:4861													
HPS1	gene	HPS1	Expert Review Green;GOSH PID v.8.0;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hermansky-Pudlak syndrome 1;oculocutaneous albinism;bleeding;inflammatory bowel disease;pulmonary fibrosis				9562579		False	3	50;25;25	2.465	False		ENSG00000107521	ENSG00000107521	HGNC:5163													
HPS4	gene	HPS4	Expert Review Green;GOSH PID v.8.0;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hermansky-Pudlak syndrome 4, 614073						False	3	50;25;25	2.465	False		ENSG00000100099	ENSG00000100099	HGNC:15844													
HPS6	gene	HPS6	Expert Review Green;GOSH PID v.8.0;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hermansky-Pudlak syndrome 6, 614075						False	3	50;25;25	2.465	False		ENSG00000166189	ENSG00000166189	HGNC:18817													
HTRA2	gene	HTRA2	Congenital neutropaenia v1.22;Expert Review Green;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type VIII, 617248;early onset neurological syndrome;neutropenia				27208207; 27696117		False	3	100;0;0	2.465	False		ENSG00000115317	ENSG00000115317	HGNC:14348													
ICOS	gene	ICOS	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency, common variable, 1;Immunodeficiency, common variable, 1, 607594;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;hypogammaglobulinaemia;gammaglobulinaemia;combined immunodeficiency;Recurrent infections, autoimmunity, gastroenteritis, granulomas;Immunodeficiencies affecting cellular and humoral immunity				10413651;26399252;25678089;29226301;19380800;28861081;15507387;24795713;12577056;29226302;29867948		False	3	100;0;0	2.465	False		ENSG00000163600	ENSG00000163600	HGNC:5351													
IFIH1	gene	IFIH1	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Aicardi-Goutieres syndrome 7 (AD);Classical AGS, SLE, SP, SMS;Autoinflammatory Disorders;Rhinovirus and other RNA viruses (AR);susceptibility to RNA viruses;Defects in Intrinsic and Innate Immunity				29018476;28716935;28606988		False	3	100;0;0	2.465	False	Other - please provide details in the comments	ENSG00000115267	ENSG00000115267	HGNC:18873													
IFNGR1	gene	IFNGR1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Immunodeficiency 27A, (AR) 209950;Immunodeficiency 27B, (AD) 615978;Mycobacteriosis;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity				8960473;8960475;9389728;9497247;9497247		False	3	100;0;0	2.465	False		ENSG00000027697	ENSG00000027697	HGNC:5439													
IFNGR2	gene	IFNGR2	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Immunodeficiency 28, Mycobacteriosis, 614889;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity				9616207;15924140;18625743;30264912		False	3	100;0;0	2.465	False		ENSG00000159128	ENSG00000159128	HGNC:5440													
IGHM	gene	IGHM	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia 1, 601495;Agammaglobulinemia 1;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				8890099;12370281		False	3	100;0;0	2.465	False		ENSG00000211899	ENSG00000211899	HGNC:5541													
IGLL1	gene	IGLL1	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia 2, 613500;Agammaglobulinemia 2;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				9419212;25502423;27576013		False	3	100;0;0	2.465	False		ENSG00000128322	ENSG00000128322	HGNC:5870													
IKBKB	gene	IKBKB	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 15, 615592;Combined immunodeficiency;Recurrent bacterial, viral, fungal infections, opportunistic infections;Immunodeficiencies affecting cellular and humoral immunity				30337470;25216719;24369075		False	3	80;20;0	2.465	False		ENSG00000104365	ENSG00000104365	HGNC:5960													
IKBKG	gene	IKBKG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency 33, 300636;Ectodermal dysplasia, hypohidrotic, with immune deficiency 300291;Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency, 300301;Immunodeficiency, isolated, 300584;Invasive pneumococcal disease, recurrent isolated, 2,300640;Defects of TLR/NFkappa-B signalling;Anhidrotic ectodermal dysplasia (in some), various infections (bacteria, mycobacteria, viruses and fungi), colitis, conical teeth, variable defects of skin, hair and teeth, monocyte dysfunction;Combined immunodeficiencies with associated or syndromic features				16818673;11179023;16950813;15356572;11047757		False	3	100;0;0	2.465	False		ENSG00000073009	ENSG00000269335	HGNC:5961													
IKZF1	gene	IKZF1	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Immunodeficiency, common variable, 13, 616873;Immunodeficiency, common variable 13;IKAROS deficiency;Recurrent sinopulmonary infections;Predominantly Antibody Deficiencies				29889099;21548011;26981933		False	3	75;25;0	2.465	False		ENSG00000185811	ENSG00000185811	HGNC:13176													
IL10	gene	IL10	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Early-onset inflammatory bowel disease;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;Inflammatory bowel disease (IBD) Folliculitis, recurrent respiratory diseases, arthritis,;Diseases of Immune Dysregulation				19890111;20951137;22236434		False	3	100;0;0	2.465	False		ENSG00000136634	ENSG00000136634	HGNC:5962													
IL10RA	gene	IL10RA	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Inflammatory bowel disease 28, early onset, autosomal recessive, 613148;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;IBD, Folliculitis, recurrent respiratory diseases, arthritis, lymphoma;Diseases of Immune Dysregulation				22476154;29248579;19890111;21519361;29059189;29140941;28864178;22236434;29788474		False	3	100;0;0	2.465	False		ENSG00000110324	ENSG00000110324	HGNC:5964													
IL10RB	gene	IL10RB	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Inflammatory bowel disease 25, early onset, autosomal recessive,612567;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;IBD, folliculitis, recurrent respiratory diseases, arthritis, lymphoma;Diseases of Immune Dysregulation				22236434;27350736;27302973;19890111;21519361;28785144		False	3	100;0;0	2.465	False		ENSG00000243646	ENSG00000243646	HGNC:5965													
IL12B	gene	IL12B	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 29, mycobacteriosis, 614890;Defects with susceptibility to mycobacterial infection (MSMD);Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency;Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity				9854038;11753820;15322986;24127073		False	3	100;0;0	2.465	False		ENSG00000113302	ENSG00000113302	HGNC:5970													
IL12RB1	gene	IL12RB1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 30, 614891;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity				9603733;11424023;15178580;15736007;12594833;21487897		False	3	100;0;0	2.465	False		ENSG00000096996	ENSG00000096996	HGNC:5971													
IL17RA	gene	IL17RA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Candidiasis, familial, 5;Chronic mucocutaneous candidiasis (CMC);Immunodeficiency 51, 613953;Defects in Intrinsic and Innate Immunity;CMC, folliculitis;Defects in Intrinsic and Innate Immunity				21350122;27930337;29076381;27930337		False	3	100;0;0	2.465	False		ENSG00000177663	ENSG00000177663	HGNC:5985													
IL17RC	gene	IL17RC	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Candidiasis, familial, 9 616445;Chronic Mucocutaneous Candidiasis;CMC;Defects in Intrinsic and Innate Immunity				25918342;29076381		False	3	100;0;0	2.465	False		ENSG00000163702	ENSG00000163702	HGNC:18358													
IL1RN	gene	IL1RN	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Interleukin 1 receptor antagonist deficiency 612852;sterile multifocal osteomyelitis, periostitis, and pustulosis;Other autoinflammatory diseases with known genetic defect;DIRA;Neonatal onset of sterile multifocal osteomyelitis, periostitis and pustulosis.;Autoinflammatory Disorders				19494219;22127713;19494218		False	3	100;0;0	2.465	False		ENSG00000136689	ENSG00000136689	HGNC:6000													
IL21R	gene	IL21R	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 56, 615207;Immunodeficiency, primary, autosomal recessive, IL21R-related;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Omenn syndrome;Severe combined immunodeficiency (SCID);IL-21R deficiency;Recurrent infections, Pneumocystis jiroveci, Cryptosporidium infections and liver disease;Immunodeficiencies affecting cellular and humoral immunity				23440042;12700598		False	3	100;0;0	2.465	False		ENSG00000103522	ENSG00000103522	HGNC:6006													
IL2RA	gene	IL2RA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Interleukin-2 receptor, alpha chain, deficiency of;Combined immunodeficiency;Omenn syndrome;Interleukin 2 receptor alpha deficiency (CD25) (IPEX phenotype);Immunodeficiency 41 with lymphoproliferation and autoimmunity, 606367;Lymphoproliferation, autoimmunity, impaired T cell proliferation;Diseases of Immune Dysregulation				9096364;24116927;17196245;23416241		False	3	100;0;0	2.465	False		ENSG00000134460	ENSG00000134460	HGNC:6008													
IL2RG	gene	IL2RG	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Combined immunodeficiency, X-linked, moderate;Severe combined immunodeficiency, X-linked;Severe combined immunodeficiency, X-linked, 300400;Severe Combined Immune Deficiency;T-B+ SCID;SCID;SCID (x-linked);Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Low NK;Immunodeficiencies affecting cellular and humoral immunity				8712778;9921912;8462096;7668284		False	3	100;0;0	2.465	False		ENSG00000147168	ENSG00000147168	HGNC:6010													
IL36RN	gene	IL36RN	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Psoriasis 14, generalized pustular 614204;Other autoinflammatory diseases with known genetic defect;Pustular psoriasis;Autoinflammatory Disorders				23303454;21848462;23698098;22903787;21839423		False	3	100;0;0	2.465	False		ENSG00000136695	ENSG00000136695	HGNC:15561													
IL7R	gene	IL7R	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type;Severe Combined Immune Deficiency;Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive;T-B+ SCID;IL7Ra deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Nl NK;Immunodeficiencies affecting cellular and humoral immunity				9843216		False	3	100;0;0	2.465	False		ENSG00000168685	ENSG00000168685	HGNC:6024													
INO80	gene	INO80	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	INO80 deficiency, HIGM;severe bacterial infections;Severe bacterial infections;Predominantly Antibody Deficiencies				25883595;25312759		False	3	100;0;0	2.465	False		ENSG00000128908	ENSG00000128908	HGNC:26956													
IRAK4	gene	IRAK4	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	IRAK4 deficiency, 610799;Invasive pneumococcal disease, recurrent isolated, 1, 6107;Defects of TLR/NFkappa-B signalling;Defects with susceptibility to mycobacterial infection (MSMD);Bacterial infections (pyogens);Defects in Intrinsic and Innate Immunity				12637671;16950813;17114497;17878374;17878374		False	3	100;0;0	2.465	False		ENSG00000198001	ENSG00000198001	HGNC:17967													
IRF8	gene	IRF8	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Immunodeficiency 32A, mycobacteriosis, autosomal dominant, 614893;Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive, 226990;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria;Defects in Intrinsic and Innate Immunity;Susceptibility to mycobacteria and multiple other infectious agents				21524210;25122610;27893462;22464253;22046141		False	3	100;0;0	2.465	False		ENSG00000140968	ENSG00000140968	HGNC:5358													
ISG15	gene	ISG15	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 38, 616126;Defects with susceptibility to mycobacterial infection (MSMD);idiopathic basal ganglia calcification;Susceptibility to mycobacteria, brain calcifications;Defects in Intrinsic and Innate Immunity				22859821;25307056;23579383		False	3	100;0;0	2.465	False		ENSG00000187608	ENSG00000187608	HGNC:4053													
